alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
2.480114767,1.577092953,1.766756887,7.542815737,43.45651141,0.569810026,0.075238629,0.267335148,0.744526614,0.975455927,0.741519397,2.763937707,1228.781864
1.074170816,1.125831965,2.557245974,4.421962814,57.33915124,1.677453147,1.027255356,0.266733728,1.037520615,6.093874912,0.40000824,2.629353292,620.263632
3.516776727,0.819709025,0.462774316,2.328976987,60.77675086,0.950359834,2.312479727,0.114245313,1.453747662,1.566771793,0.249111444,0.948953752,417.9396945
13.18979771,1.402825681,0.153316259,7.621557882,0.440191257,0.10333245,2.878384594,0.016164688,1.558074203,5.961708792,0.338150976,1.608835121,233.6067135
11.97305265,1.838886764,0.945974859,1.269000143,83.4841823,0.934232567,0.448262819,0.038872068,0.488293373,4.358915593,0.482323934,0.084787863,387.1982263
2.284137531,0.048991801,0.211198011,4.088945132,18.95761334,1.192519158,1.647510503,0.005231129,1.038588797,2.101097985,0.237540976,1.672786938,121.1344732
9.463899368,0.787199423,1.863438421,16.86907426,31.73686799,1.470403376,0.534719628,0.206581906,0.633735649,4.444609847,0.033383734,0.925355199,328.5089425
6.453938921,1.676531968,2.153574131,13.7651516,70.3900727,1.749210187,2.721021303,0.252128283,0.15286722,0.582114432,0.507067507,2.055238559,59.72906435
12.74055214,2.85464567,0.932968541,8.626371102,44.55770586,0.40555237,1.105890168,0.219004569,0.393722953,2.706762537,0.983952769,1.070769311,250.3014695
9.686585529,1.232882808,1.475132363,3.56010638,12.22104857,1.229565055,1.495698231,0.153812932,0.886209445,1.506816501,0.939697602,0.921325464,187.4570352
